228,1096,486,1099,486,1120,228,1117
265,595,595,598,594,617,264,614
209,970,481,972,481,995,209,993
246,699,492,702,492,724,245,722
259,578,584,581,584,600,259,597
241,823,453,825,452,848,241,846
193,1176,392,1179,392,1201,192,1198
253,280,473,283,473,300,252,297
322,193,533,195,533,226,321,224
302,627,555,631,554,651,302,647
279,612,582,616,582,634,279,630
287,1053,425,1055,425,1079,286,1077
311,1150,514,1152,514,1173,311,1171
214,435,377,437,377,455,214,453
213,1138,357,1140,357,1160,212,1158
288,1395,574,1399,574,1425,288,1421
199,886,381,888,380,908,199,906
261,1118,441,1120,441,1138,261,1137
190,863,303,865,302,887,189,885
363,491,483,492,483,512,363,511
250,266,420,267,420,284,250,283
183,1200,296,1202,296,1223,182,1221
164,1240,265,1242,264,1264,164,1263
199,779,313,781,313,803,199,801
207,802,315,804,315,823,207,821
230,341,377,344,377,361,229,359
299,374,531,377,531,393,299,390
307,391,573,393,572,411,307,409
201,738,285,740,284,761,201,759
445,1015,532,1017,531,1039,445,1038
423,787,531,788,531,809,423,807
449,995,528,997,528,1017,449,1016
290,332,463,334,463,347,290,345
479,424,554,425,553,444,479,443
262,927,339,929,339,949,261,947
348,316,446,317,446,329,348,327
379,527,442,529,441,546,378,545
219,521,279,522,278,539,218,538
371,544,435,546,434,563,371,561
578,530,636,531,636,548,578,548
582,549,638,550,637,567,582,566
206,537,263,539,262,557,205,555
577,456,636,458,635,476,577,475
188,989,270,990,269,1013,187,1011
204,504,259,505,258,522,203,521
576,424,635,426,634,443,575,442
183,1160,248,1162,248,1181,183,1179
575,379,628,379,628,394,575,393
515,457,571,458,570,477,514,476
545,345,613,346,613,360,545,358
576,395,629,395,629,410,576,410
479,529,539,530,538,548,479,547
192,1011,253,1012,253,1034,192,1033
264,505,320,507,319,524,264,523
484,547,537,549,537,565,483,564
216,327,261,328,261,343,215,342
594,512,638,513,638,531,594,531
383,510,437,512,437,527,383,525
495,512,538,513,537,531,495,530
190,927,239,928,239,947,190,946
